isbn,title,author,publisher,pub_place,pub_year,extent,dimensions,subject,inclusion_date,source,library,notes
,funeral procession,"Mrożewski, Stefan (1894-1975)",,,[1954-1956],1 matryca graficzna,"21,9x16,4x2,3 cm.",Getto warszawskie,,,,"Sygn. pod kompoz. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Andrzej Mrożewski, Stefan Mrożewski: twórczość graficzna 1952-1975 katalog wstępny, 16.VIII.2000 (maszynopis w zbiorach ZZI) Czarodziej rylca"
,wedding,"Mrożewski, Stefan (1894-1975)",,,[1954-1956],1 matryca graficzna,"22x16,4x2,3 cm.",Getto warszawskie,,,,"Sygn. pod kompoz. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Andrzej Mrożewski, Stefan Mrożewski: twórczość graficzna 1952-1975 katalog wstępny, 16.VIII.2000 (maszynopis w zbiorach ZZI) Czarodziej rylca"
,janusz korczak with children going treblinka,"Mrożewski, Stefan (1894-1975)",,,[1954-1956],1 matryca graficzna,"22,1x16,5x2,3 cm.",Getto warszawskie,,,,"Sygn. pod kompoz. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Andrzej Mrożewski, Stefan Mrożewski: twórczość graficzna 1952-1975 katalog wstępny, 16.VIII.2000 (maszynopis w zbiorach ZZI) Czarodziej rylca"
,round-up for the gas chambers,"Mrożewski, Stefan (1894-1975)",,,[1954-1956],1 matryca graficzna,"22x16,5x2,3 cm.",Getto warszawskie,,,,"Sygn. pod kompoz. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Andrzej Mrożewski, Stefan Mrożewski: twórczość graficzna 1952-1975 katalog wstępny, 16.VIII.2000 (maszynopis w zbiorach ZZI) Czarodziej rylca"
,the uprising - hopeless fight,"Mrożewski, Stefan (1894-1975)",,,[1956],1 matryca graficzna,"21,8x16,2x2,3 cm.",Getto warszawskie,,,,"Sygn. pod kompoz. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Andrzej Mrożewski, Stefan Mrożewski: twórczość graficzna 1952-1975 katalog wstępny, 16.VIII.2000 (maszynopis w zbiorach ZZI) Czarodziej rylca"
,desperation and death,"Mrożewski, Stefan (1894-1975)",,,[1954-1956],1 matryca graficzna,"21,8x16,1x2,3 cm.",Getto warszawskie,,,,"Sygn. pod kompoz. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Tyt. nadany przez katalogującego. Andrzej Mrożewski, Stefan Mrożewski: twórczość graficzna 1952-1975 katalog wstępny, 16.VIII.2000 (maszynopis w zbiorach ZZI) Czarodziej rylca"
,life goes on,"Mrożewski, Stefan (1894-1975)",,,[1954-1956],1 matryca graficzna,"21,8x16x2,3 cm.",Getto warszawskie,,,,"Na rew. adnot. ołówkiem. Sygn. pod kompoz., litera M z herbem Prus. Tyt. nadany przez katalogującego. Andrzej Mrożewski, Stefan Mrożewski: twórczość graficzna 1952-1975 katalog wstępny, 16.VIII.2000 (maszynopis w zbiorach ZZI) Czarodziej rylca"
,exlibris mjr. a. englert,"Mrożewski, Stefan (1894-1975)",,,[1938],1 matryca graficzna,"7,1x5,1x2,3 cm.",Łabędzie,,,,Sygn. monogramem wiązanym. Nazwa aut.: Stefan Mrożewski. Czarodziej rylca
,ex libris dr. władysława gałeckiego,"Mrożewski, Stefan (1894-1975)",,,[1955],1 matryca graficzna,"10,2x5,7x2,4 cm.",Heraldyka,,,,"Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Andrzej Mrożewski, Stefan Mrożewski: twórczość graficzna 1952-1975 katalog wstępny, 16.VIII.2000 (maszynopis w zbiorach ZZI)"
,"per aspera ad astra, ex libris einhart kawerau","Mrożewski, Stefan (1894-1975)",,,[1974],1 matryca graficzna,"10,8x10,2x2,3 cm.",Heraldyka,,,,"Sygn. monogramem wiązanym z herbem Prus. Nazwa aut.: Stefan Mrożewski. Andrzej Mrożewski, Stefan Mrożewski: twórczość graficzna 1952-1975 katalog wstępny, 16.VIII.2000 (maszynopis w zbiorach ZZI)."
,portret piotra chmielowskiego,"Szpadkowski, Ludomir (1855-1908)",,,1894,1 obraz,"135x105,5 cm, z ramą 173,5x143,5.",Wnętrza architektoniczne,,,,"Sygn. pod kompoz. Tyt. nadany przez katalogującego. Reprod.: Henryk Markiewicz, Pozytywizm, Warszawa 1999, s. 371."
,portret kazimierza przerwy-tetmajera,"Laurans, Michał du (1873-1959)",,,1907,1 obraz,"121x101,5 cm, z ramą 147,5x126 cm.",,,,,Sygn. pod kompoz.  Tyt. nadany przez katalogującego. SAPO
,zakładka książki józefa grycza,,,,[1920-1939],1 zakładka,"19,8x2,4x0,5 cm.",Bibliotekarze,,,,Tyt. nadany przez katalogującego.
